State,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
CO,"Las Animas County, CO","6,553","6,256",297,4.5,"41,485",57.7
CO,"Lincoln County, CO","2,460","2,402",58,2.4,"46,690",64.9
CO,"Logan County, CO","11,216","10,913",303,2.7,"53,168",73.9
CO,"Mesa County, CO","75,614","72,652","2,962",3.9,"51,132",71.1
CO,"Mineral County, CO",511,498,13,2.5,"60,210",83.7
CO,"Moffat County, CO","7,435","7,171",264,3.6,"59,500",82.7
CO,"Montezuma County, CO","12,982","12,379",603,4.6,"50,180",69.7
CO,"Montrose County, CO","21,631","20,861",770,3.6,"52,576",73.1
CO,"Morgan County, CO","16,352","15,892",460,2.8,"55,387",77.0
CO,"Otero County, CO","8,401","7,990",411,4.9,"40,064",55.7
CO,"Ouray County, CO","2,387","2,307",80,3.4,"68,900",95.8
CO,"Park County, CO","11,031","10,729",302,2.7,"72,121",100.2
CO,"Phillips County, CO","2,594","2,546",48,1.9,"52,367",72.8
CO,"Pitkin County, CO","11,234","10,821",413,3.7,"89,034",123.7
CO,"Prowers County, CO","6,288","6,087",201,3.2,"42,455",59.0
CO,"Pueblo County, CO","75,547","72,004","3,543",4.7,"48,308",67.1
CO,"Rio Blanco County, CO","2,940","2,820",120,4.1,"63,411",88.1
CO,"Rio Grande County, CO","5,425","5,167",258,4.8,"44,171",61.4
CO,"Routt County, CO","16,238","15,815",423,2.6,"81,033",112.6
CO,"Saguache County, CO","3,535","3,374",161,4.6,"36,869",51.2
CO,"San Juan County, CO",523,508,15,2.9,"46,878",65.2
CO,"San Miguel County, CO","5,563","5,377",186,3.3,"69,458",96.5
CO,"Sedgwick County, CO","1,189","1,159",30,2.5,"40,009",55.6
CO,"Summit County, CO","22,506","22,030",476,2.1,"80,078",111.3
CO,"Teller County, CO","12,542","12,096",446,3.6,"64,850",90.1
CO,"Washington County, CO","3,055","2,982",73,2.4,"47,869",66.5
CO,"Weld County, CO","165,053","160,252","4,801",2.9,"75,629",105.1
CO,"Yuma County, CO","6,009","5,893",116,1.9,"53,253",74.0
CT,Connecticut,"1,900,664","1,821,891","78,773",4.1,"76,366",100.0
CT,"Fairfield County, CT","479,179","460,045","19,134",4.0,"91,183",119.4
CT,"Hartford County, CT","478,660","458,138","20,522",4.3,"73,037",95.6
CT,"Litchfield County, CT","104,604","100,568","4,036",3.9,"76,304",99.9
CT,"Middlesex County, CT","92,811","89,517","3,294",3.5,"88,709",116.2
CT,"New Haven County, CT","458,799","438,485","20,314",4.4,"67,720",88.7
CT,"New London County, CT","136,856","131,394","5,462",4.0,"67,790",88.8
CT,"Tolland County, CT","86,174","83,055","3,119",3.6,"89,584",117.3
CT,"Windham County, CT","63,584","60,689","2,895",4.6,"65,182",85.4
DE,Delaware,"481,773","463,542","18,231",3.8,"65,467",100.0
DE,"Kent County, DE","78,063","74,802","3,261",4.2,"54,980",84.0
DE,"New Castle County, DE","297,784","286,811","10,973",3.7,"69,562",106.3
DE,"Sussex County, DE","105,928","101,930","3,998",3.8,"59,821",91.4
DC,District of Columbia,"404,739","381,703","23,036",5.7,"82,533",100.0
DC,District of Columbia,"404,739","381,703","23,036",5.7,"82,533",100.0
FL,Florida,"10,173,537","9,808,656","364,881",3.6,"55,433",100.0
FL,"Alachua County, FL","137,170","132,623","4,547",3.3,"51,026",92.0
FL,"Baker County, FL","11,631","11,225",406,3.5,"52,804",95.3
FL,"Bay County, FL","87,904","84,286","3,618",4.1,"51,777",93.4
FL,"Bradford County, FL","11,132","10,751",381,3.4,"45,075",81.3
FL,"Brevard County, FL","276,377","266,476","9,901",3.6,"57,612",103.9
FL,"Broward County, FL","1,031,169","995,853","35,316",3.4,"57,200",103.2
